S&P/ASX 200 Index (1 July 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
PGH,Pact Group Holdings LTD,Materials,"1,765,480,000",0.11,,,
PMV,Premier Investments Limited,Consumer Discretionary,"1,983,470,000",0.12,,,
PPT,Perpetual Limited,Financials,"2,569,510,000",0.16,,,
PRY,Primary Health Care Limited,Health Care,"1,898,020,000",0.12,,,
PTM,Platinum Asset Management Limited,Financials,"2,728,060,000",0.17,,,
QAN,Qantas Airways Limited,Industrials,"10,325,000,000",0.64,,,
QBE,QBE Insurance Group Limited,Financials,"16,025,300,000",0.99,,,
QUB,Qube Holdings Limited,Industrials,"4,201,320,000",0.26,,,
REA,REA Group LTD,Consumer Discretionary,"8,527,210,000",0.53,,,
REG,Regis Healthcare Limited,Health Care,"1,165,390,000",0.07,,,
RFG,Retail Food Group Limited,Consumer Discretionary,"818,288,000",0.05,,,
RHC,Ramsay Health Care Limited,Health Care,"14,747,900,000",0.91,,,
RIO,RIO Tinto Limited,Materials,"26,978,600,000",1.67,,,
RMD,Resmed Inc Cdi 10:1,Health Care,"14,263,500,000",0.88,,,
RRL,Regis Resources Limited,Materials,"1,848,760,000",0.11,,,
RSG,Resolute Mining Limited,Materials,"869,640,000",0.05,,,
RWC,Reliance Worldwide Corporation Limited,Industrials,"1,727,250,000",0.11,,,
S32,SOUTH32 Limited,Materials,"14,112,900,000",0.87,,,
SAR,Saracen Mineral Holdings Limited,Materials,"932,131,000",0.06,,,
SBM,ST Barbara Limited,Materials,"1,412,420,000",0.09,,,
SCG,Scentre Group Stapled,Real Estate,"21,243,900,000",1.31,,,
SCP,Shopping Centres Australasia Property Group Stapled,Real Estate,"1,604,340,000",0.1,,,
SDA,Speedcast International Limited,Telecommunication Services,"902,885,000",0.06,,,
SDF,Steadfast Group Limited,Financials,"1,956,850,000",0.12,,,
SEK,Seek Limited,Industrials,"5,839,930,000",0.36,,,
SFR,Sandfire Resources NL,Materials,"909,034,000",0.06,,,
SGM,Sims Metal Management Limited,Materials,"3,053,630,000",0.19,,,
SGP,Stockland Stapled,Real Estate,"10,399,100,000",0.64,,,
SGR,The Star Entertainment Group Limited,Consumer Discretionary,"4,153,130,000",0.26,,,
SHL,Sonic Healthcare Limited,Health Care,"9,989,440,000",0.62,,,
SIG,Sigma Healthcare Limited,Health Care,"935,457,000",0.06,,,
SKC,Skycity Entertainment Group Limited NZX,Consumer Discretionary,"2,513,090,000",0.16,,,
SKI,Spark Infrastructure Group Forus,Utilities,"4,356,410,000",0.27,,,
SKT,SKY Network Television Limited NZ,Consumer Discretionary,"1,284,160,000",0.08,,,
SPK,Spark New Zealand Limited NZX,Telecommunication Services,"6,579,910,000",0.41,,,
SPO,Spotless Group Holdings Limited,Industrials,"1,263,160,000",0.08,,,
SRX,Sirtex Medical Limited,Health Care,"936,413,000",0.06,,,
STO,Santos Limited,Energy,"6,290,390,000",0.39,,,
SUL,Super Retail Group Limited,Consumer Discretionary,"1,599,620,000",0.1,,,
SUN,Suncorp Group Limited,Financials,"19,015,600,000",1.18,,,
SVW,Seven Group Holdings Limited,Industrials,"3,034,590,000",0.19,,,
SWM,Seven West Media Limited,Consumer Discretionary,"1,093,320,000",0.07,,,
SXL,Southern Cross Media Group Limited,Consumer Discretionary,"945,887,000",0.06,,,
SYD,Sydney Airport Forus,Industrials,"15,703,800,000",0.97,,,
SYR,Syrah Resources Limited,Materials,"720,395,000",0.04,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"3,574,940,000",0.22,,,
TCL,Transurban Group Stapled,Industrials,"24,011,700,000",1.48,,,
TGR,Tassal Group Limited,Consumer Staples,"657,472,000",0.04,,,
TLS,Telstra Corporation Limited,Telecommunication Services,"51,260,100,000",3.17,,,
TME,Trade Me Group Limited NZX,Consumer Discretionary,"1,992,840,000",0.12,,,
TNE,Technology One Limited,Information Technology,"1,775,650,000",0.11,,,
TPM,TPG Telecom Limited,Telecommunication Services,"5,169,180,000",0.32,,,
TTS,Tatts Group Limited,Consumer Discretionary,"6,006,240,000",0.37,,,
TWE,Treasury Wine Estates Limited,Consumer Staples,"9,654,810,000",0.6,,,
VCX,Vicinity Centres Stapled,Real Estate,"10,173,700,000",0.63,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,006,440,000",0.12,,,
VRT,Virtus Health Limited,Health Care,"414,805,000",0.03,,,
VVR,Viva Energy Reit Stapled,Real Estate,"1,652,510,000",0.1,,,
WBC,Westpac Banking Corporation,Financials,"102,008,000,000",6.31,,,
WEB,Webjet Limited,Consumer Discretionary,"1,207,410,000",0.07,,,
WES,Wesfarmers Limited,Consumer Staples,"45,546,400,000",2.82,,,
WFD,Westfield Corporation Stapled,Real Estate,"16,562,400,000",1.02,,,
WHC,Whitehaven Coal Limited,Energy,"2,965,270,000",0.18,,,
WOR,Worleyparsons Limited,Energy,"2,744,990,000",0.17,,,
WOW,Woolworths Limited,Consumer Staples,"32,645,200,000",2.02,,,
WPL,Woodside Petroleum Limited,Energy,"25,206,000,000",1.56,,,
WSA,Western Areas Limited,Materials,"577,226,000",0.04,,,
